Disorder,SNOMED Concept ID,Snomed Concept FullySpecifiedName
,198288003,Anxiety state (finding)
,207363009,Anxiety neurosis (finding)
,21897009,Generalized anxiety disorder (disorder)
,225624000,Panic attack (finding)
,25501002,Social phobia (disorder)
,371631005,Panic disorder (disorder)
,386810004,Phobic disorder (disorder)
,48694002,Anxiety (finding)
,54307006,Zoophobia (finding)
,54587008,Simple phobia (disorder)
,56576003,Panic disorder without agoraphobia (disorder)
,64165008,Avoidant disorder of childhood (disorder)
,70691001,Agoraphobia (disorder)
,79015004,Worried (finding)
,853241000006103,Phobic anxiety (disorder)
Psychotic disorders,13746004,Bipolar disorder (disorder)
,162004,Severe manic bipolar I disorder without psychotic features (disorder)
,191618007,"Bipolar affective disorder, current episode manic (disorder)"
,191620005,"Bipolar affective disorder, currently manic, mild (disorder)"
,191621009,"Bipolar affective disorder, currently manic, moderate (disorder)"
,191623007,"Bipolar affective disorder, currently manic, severe, with psychosis (disorder)"
,191625000,"Bipolar affective disorder, currently manic, in full remission (disorder)"
,191627008,"Bipolar affective disorder, current episode depression (disorder)"
,191629006,"Bipolar affective disorder, currently depressed, mild (disorder)"
,191630001,"Bipolar affective disorder, currently depressed, moderate (disorder)"
,191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
,191636007,Mixed bipolar affective disorder (disorder)
,191638008,"Mixed bipolar affective disorder, mild (disorder)"
,191639000,"Mixed bipolar affective disorder, moderate (disorder)"
,191641004,"Mixed bipolar affective disorder, severe, with psychosis (disorder)"
,191643001,"Mixed bipolar affective disorder, in full remission (disorder)"
,192362008,"Bipolar affective disorder, current episode mixed (disorder)"
,1972101000006100,Organic bipolar affective disorder (disorder)
,1972121000006100,Organic mixed affective disorder (disorder)
,1975931000006100,"Bipolar affect disorder cur epi mild or moderate depressn, without somatic syndrome (disorder)"
,1975941000006100,"Bipolar affect disorder cur epi mild or moderate depressn, with somatic syndrome (disorder)"
,231494001,Mania (disorder)
,231496004,Hypomania (disorder)
,268619003,"Manic disorder, single episode (disorder)"
,270901009,"Schizoaffective disorder, mixed type (disorder)"
,271428004,"Schizoaffective disorder, manic type (disorder)"
,31446002,"Bipolar I disorder, most recent episode hypomanic (disorder)"
,371596008,Bipolar I disorder (disorder)
,405273008,Manic mood (finding)
,49512000,Depressed bipolar I disorder in partial remission (disorder)
,58329000,Organic mood disorder of manic type (disorder)
,61403008,Severe depressed bipolar I disorder without psychotic features (disorder)
,63249007,Manic bipolar I disorder in partial remission (disorder)
,68890003,Schizoaffective disorder (disorder)
,760721000000109,"Mixed bipolar affective disorder, in partial remission (disorder)"
,764591000000108,"Mixed bipolar affective disorder, severe (disorder)"
,765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)
,83225003,Bipolar II disorder (disorder)
,84760002,"Schizoaffective disorder, depressive type (disorder)"
,85248005,Bipolar disorder in remission (disorder)
,111482003,Subchronic schizophrenia with acute exacerbations (disorder)
,111483008,Catatonic schizophrenia in remission (disorder)
,111484002,Undifferentiated schizophrenia (disorder)
,12939007,Chronic disorganized schizophrenia (disorder)
,14291003,Subchronic disorganized schizophrenia with acute exacerbations (disorder)
,16990005,Subchronic schizophrenia (disorder)
,191525009,Non-organic psychosis (disorder)
,191526005,Schizophrenic disorders (disorder)
,191527001,Simple schizophrenia (disorder)
,191542003,Catatonic schizophrenia (disorder)
,191559008,Latent schizophrenia (disorder)
,191561004,Subchronic latent schizophrenia (disorder)
,191562006,Chronic latent schizophrenia (disorder)
,191565008,Latent schizophrenia in remission (disorder)
,191567000,Schizoaffective schizophrenia (disorder)
,191569002,Subchronic schizoaffective schizophrenia (disorder)
,191570001,Chronic schizoaffective schizophrenia (disorder)
,191574005,Schizoaffective schizophrenia in remission (disorder)
,191577003,Cenesthopathic schizophrenia (disorder)
,191680007,Psychogenic paranoid psychosis (disorder)
,191687005,Psychosis with origin in childhood (disorder)
,191696005,Atypical childhood psychoses (disorder)
,191697001,Borderline psychosis of childhood (disorder)
,1974351000006100,"Paranoid schizophrenia, continuous (disorder)"
,1974391000006100,"Paranoid schizophrenia, episodic with progressive deficit (disorder)"
,1974431000006100,"Paranoid schizophrenia, episodic with stable deficit (disorder)"
,1974601000006100,"Hebephrenic schizophrenia, continuous (disorder)"
,1974611000006100,"Hebephrenic schizophrenia, episodic with progressive deficit (disorder)"
,1974621000006100,"Hebephrenic schizophrenia, episodic with stable deficit (disorder)"
,1974751000006100,"Catatonic schizophrenia, continuous (disorder)"
,1974781000006100,"Catatonic schizophrenia, episodic with progressive deficit (disorder)"
,1974801000006100,"Catatonic schizophrenia, episodic with stable deficit (disorder)"
,1974951000006100,"Undifferentiated schizophrenia, continuous (disorder)"
,1974971000006100,"Undifferentiated schizophrenia, episodic with progressive deficit (disorder)"
,1975001000006100,"Undifferentiated schizophrenia, episodic with stable deficit (disorder)"
,1975191000006100,"Post-schizophrenic depression, continuous (disorder)"
,1975351000006100,"Residual schizophrenia, continuous (disorder)"
,1975381000006100,"Residual schizophrenia, episodic with progressive deficit (disorder)"
,1975401000006100,"Residual schizophrenia, episodic with stable deficit (disorder)"
,1975491000006100,"Simple schizophrenia, continuous (disorder)"
,1975501000006100,"Simple schizophrenia, episodic with progressive deficit (disorder)"
,1975521000006100,"Simple schizophrenia, episodic with stable deficit (disorder)"
,1975621000006100,"Acute polymorphic psychot disord without symp of schizoph, without associated acute stress (disorder)"
,1975641000006100,"Simple schizophrenia, course uncertain, period of observation too short (disorder)"
,1975671000006100,"Acute polymorphic psychot disord without symp of schizoph, with associated acute stress (disorder)"
,1975681000006100,"Acute polymorphic psychot disord with symp of schizophren, without associated acute stress (disorder)"
,1975691000006100,"Acute polymorphic psychot disord with symp of schizophren, with associated acute stress (disorder)"
,1975711000006100,"Acute schizophrenia-like psychotic disorder, without associated acute stress (disorder)"
,1975731000006100,"Acute schizophrenia-like psychotic disorder, with associated acute stress (disorder)"
,1975751000006100,"Other schizophrenia, continuous (disorder)"
,1975761000006100,"Other acute predominantly delusional psychotic disorders, without associated acute stress (disorder)"
,1975771000006100,"Other schizophrenia, episodic with progressive deficit (disorder)"
,1975781000006100,"Other acute predominantly delusional psychotic disorders, with associated acute stress (disorder)"
,1975801000006100,"Other schizophrenia, episodic with stable deficit (disorder)"
,1975821000006100,"Other acute and transient psychotic disorders, without associated acute stress (disorder)"
,1975831000006100,"Other schizophrenia, episodic remittent (disorder)"
,1975841000006100,"Other schizophrenia, incomplete remission (disorder)"
,1975851000006100,"Other acute and transient psychotic disorders, with associated acute stress (disorder)"
,1975871000006100,"Acute and transient psychotic disorder, unspecified, without associated acute stress (disorder)"
,1975881000006100,"Other schizophrenia, complete remission (disorder)"
,1975901000006100,"Acute and transient psychotic disorder, unspecified, with associated acute stress (disorder)"
,1975911000006100,"Other schizophrenia, course uncertain, period of observation too short (disorder)"
,1976001000006100,"Schizophrenia, unspecified, continuous (disorder)"
,1976061000006100,"Schizophrenia, unspecified, episodic with progressive deficit (disorder)"
,1976101000006100,"Schizophrenia, unspecified, episodic with stable deficit (disorder)"
,1976121000006100,"Schizophrenia, unspecified, episodic remittent (disorder)"
,1976141000006100,"Schizophrenia, unspecified, incomplete remission (disorder)"
,1976151000006100,"Schizophrenia, unspecified, complete remission (disorder)"
,1976171000006100,"Schizophrenia, unspecified, course uncertain, period of observation too short (disorder)"
,1976881000006100,"Paranoid schizophrenia, other (disorder)"
,1976891000006100,"Hebephrenic schizophrenia, other (disorder)"
,1976901000006100,"Catatonic schizophrenia, other (disorder)"
,1976911000006100,"Undifferentiated schizophrenia, other (disorder)"
,1976931000006100,"Residual schizophrenia, other (disorder)"
,1976941000006100,"Simple schizophrenia, other (disorder)"
,1976951000006100,"Other schizophrenia, other (disorder)"
,1976961000006100,"Schizophrenia, unspecified, other (disorder)"
,231437006,Reactive psychoses (disorder)
,231487004,Persistent delusional disorder (disorder)
,231489001,Acute transient psychotic disorder (disorder)
,247804008,Schizophrenic prodrome (disorder)
,26025008,Residual schizophrenia (disorder)
,268617001,Acute schizophrenic episode (disorder)
,270901009,"Schizoaffective disorder, mixed type (disorder)"
,271428004,"Schizoaffective disorder, manic type (disorder)"
